怕剧堡疙,龋扁,斥岿老,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
备固,1,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695.2,0,0,0,0,0,0,0,0,0
备固,1,2017-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0
备固,1,2017-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3995.1,0,0,0,0,0,0,0,0,0
备固,1,2017-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768.4,0,0,0,0,0,0,0,0,0
备固,1,2017-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233.4,0,0,0,0,0,0,0,0,0
备固,1,2017-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.2,0,0,0,0,0,0,0,0,0
备固,1,2017-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2456.1,0,0,0,0,0,0,0,0,0
备固,1,2017-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2649,0,0,0,0,0,0,0,0,0
备固,1,2017-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3067.9,0,0,0,0,0,0,0,0,0
备固,1,2017-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4363.8,0,0,0,0,0,0,0,0,0
备固,1,2017-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4821,0,0,0,0,0,0,0,0,0
备固,1,2017-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700.7,0,0,0,0,0,0,0,0,0
备固,1,2017-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5703.1,0,0,0,0,0,0,0,0,0
备固,1,2017-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731.4,0,0,0,0,0,0,0,0,0
备固,1,2017-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503.8,0,0,0,0,0,0,0,0,0
备固,1,2017-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4214.3,0,0,0,0,0,0,0,0,0
备固,1,2017-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2844.2,0,0,0,0,0,0,0,0,0
备固,1,2017-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157.1,0,0,0,0,0,0,0,0,0
备固,1,2017-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250.8,0,0,0,0,0,0,0,0,0
备固,1,2017-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.9,0,0,0,0,0,0,0,0,0
备固,1,2017-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230.2,0,0,0,0,0,0,0,0,0
备固,1,2017-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664.4,0,0,0,0,0,0,0,0,0
备固,1,2017-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3889.7,0,0,0,0,0,0,0,0,0
备固,1,2017-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5252.1,0,0,0,0,0,0,0,0,0
备固,1,2017-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5159.9,0,0,0,0,0,0,0,0,0
备固,1,2017-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4711.9,0,0,0,0,0,0,0,0,0
